;cat1_gender;cat2_hairColor;cat3_education;cat4_income;cat5_customerSatisfaction;cat6_brandOfSoaps;cat7_motivesForEmployeesToWorkBetter;cat8_motivesForTravelling;cat9_age;cat10_proficiencyLevel;cat11_nationality;cat12_blood type;cat12_paymentMethod;cat13_productType;cat14_temprature;cat15_programmingLanguage;cat16_city;num1_1;num1_2;num1_3;num1_4;num1_5;num1_6;num1_7;num1_8;num1_9;num1_10;num1_11;num1_12;num1_13;num1_14;num1_15;num1_16;num1_17;num1_18;num1_19;num1_20;num1_21;num1_22;num1_23;num1_24;num1_25;num2_1;num2_2;num2_3;num2_4;num2_5;num2_6;num2_7;num2_8;num2_9;num2_10;num2_11;num2_12;num2_13;num2_14;num2_15;num2_16;num2_17;num2_18;num2_19;num2_20;num2_21;num2_22;num2_23;num2_24;num2_25;num3_1;num3_2;num3_3;num3_4;num3_5;num3_6;num3_7;num3_8;num3_9;num3_10;num3_11;num3_12;num3_13;num3_14;num3_15;num3_16;num3_17;num3_18;num3_19;num3_20;num3_21;num3_22;num3_23;num3_24;num3_25
0;male;black;high school;$40,001 - $50,000;good;lux;Peer motivation;Health;below 21 years;Advanced;german;IV;cash;Wood;Very Hot;C++;moscow;516.625310305148;-14.598769150917594;-1140.7989596406587;146.99364091050688;200.40413185541635;-124.5422721287265;928.0032643150159;247.15935692924518;38.39456348139899;1952.9511140297373;433.15740341497104;-837.6875263529378;468.2550183039127;374.39103930002045;282.2280239595624;873.7697900674328;746.0336029683144;847.0174021753853;248.41728746488698;227.83640819831058;416.6429025717475;311.6285092886682;44.65630978657009;907.3482563082993;916.1530757819796;-146,7783038;1214,49707;600,7719551;;374,8498415;661,4781686;230,7118953;233,3462292;-310,8922272;-14,98419098;230,8854117;844,8056748;751,9730355;514,0848289;;483,8140538;575,6858747;165,6886078;-263,9346435;1444,503941;1336,343388;664,6063627;-36,36244127;242,7340126;294,9819988;402,0648555;596,064809;477,7203193;706,0679989;537,7840871;440,2480406;63,10305956;731,5164492;475,7691664; ;725,6340958;380,9643541;687,4142402;629,3944821;807,9763651;116,8069271;234,4528617;284,3047662;663,1881335;266,0178526;29,21524627;648,5318996;598,5346265;971,1673076;703,1292088
1;male;Red;phd;$40,001 - $50,000;Good;;Professional growth opportunities;Study;59 years and above;Novice;German;ii;credit;Plastic;cold;C++;St. Petersburg;725.1116761632727;-69.13382190709196;-9999.0;248.09689063072716;236.69117587762656;-218.50110555236927;942.6836165658302;668.8129727076979;-9999.0;248.95281958140725;569.4073394179526;1336.388454903959;1054.7085793409167;511.31490272076684;1039.0899558034564;720.5622267694775;-1544.3803531741207;777.3640738502477;-9999.0;336.087356905958;-104.4217345411854;88.55164641598867;649.011079988193;962.2197760537705;531.1754347340471;190,9334883;1233,147326;541,5634542;530,1503514;757,9258941;-361,672031;-54,55562646;96,17399528;-68,99746327;15,25186102;-222,4515213;215,9235221;496,1622678;-1284,279453;268,3889467;211,321139;1183,133379;;3762,308926;664,4535442;1926,733778;1001,232482;557,9158997;1035,400665;85,12079488;162,1772192;615,696315;476,9522845;619,7058357;525,4364168;731,825517;-;726,1391271;333,5411925;624,0885587; ; ;822,8748079;655,8471568;444,529442;98,26433027;193,0740474;320,9264649;409,8172169;279,6318001;47,21915066;665,8643975;540,0669945;933,4494427;614,4116784
2;male;black;School SAT;$40,001 - $50,000;Good;Lux;peer motivation;Family;59 years and above;Novice;german;I;Credit;-;Very Hot;C++;St. Petersburg;448.82252145045913;17.067070692661343;989.0531307185904;155.73940811788052;-26.114920763224973;508.24499680422366;986.8279920144334;236.21887138246507;441.1966892634291;465.57879192634056;1041.8911685468358;869.1034646118607;670.8003257023086;387.40984047510057;500.6960852566527;1039.1146711499102;199.69074294112278;681.2065636847511;118.93743764920947;141.46352675722994;50.274175410521934;314.1051651256997;130.8048685931393;1053.680909543515;1214.908272882684;-102,8172793;727,7221265;962,3489486;;556,8853941;39,62282897;159,5875166;1,799638983;450,7833117;72,06955309;126,0845155;706,4631379;713,3427015;0,054361145;174,9921273;244,1498171;694,2514417;-151,5967266;-404,4063815;1125,748997;576,8967811;806,0714183;2447,025287;-469,0641615;375,5225966;629,3885532;388,723422;327,7014623; ;572,6721662;793,1049621;100,8718343;742,3227851;450,8099843;-;760,2292167;239,4908439;606,6866987;502,4534147;428,7239664;;271,7218373;411,8469968;540,3692261;703,0536157;21,81082258;667,9586676; ;950,2093254;530,1225509
3;;Red;BSc;Below $30,001;Very good;lux;Recognition;Health;59 years and above;Advanced;German;I;Cash;Plastic;Very Hot;C++;Moscow;-9999.0;-94.7917672094707;1318.9947499864818;97.14768272185052;-82.7648167345182;-1683.3030369420399;940.8246454337207;989.9292117802848;210.91448582273148;746.7983072527767;637.858412342658;65.90993512508402;600.3690970313792;519.7266894070785;1346.4299953336483;712.0386765345761;70.52765424511466;892.6520962091353;424.0971984883364;171.38129880599925;-1044.2552425864844;-168.55059045662176;241.75694241341995;1148.7029797779157;-460.2380158707492;;256,0562053;1031,559565;719,9094857;915,7026598;149,5103409;451,7289673;526,8628754;202,8848843;-61,28269698;-405,7874142;444,3920607;718,7374588;-363,1606088;108,6478999;82,09002177;1114,841772;713,2931024;1405,58613;371,8516343;659,4150934;987,0653731;856,8362043;2793,294228;652,0674836;560,8165573;716,5487858;391,2414887;339,7674183;570,4681559;761,0095561;174,6069498;767,2976615;442,9970157;702,582061;890,2791316;265,5193488;752,979488;503,4618738;520,2380374;116,6132906; ;410,4834692;382,2626122;779,4866961;109,2957324;651,2311832;601,8692694;942,9570729;620,665623
4;male;black;phd;-;Very good;Dove;Recognition;Health;59 years and above;Advanced;german;ii;credit;metal;cold;C++;Chelyabinsk;380.17589958158896;33.12323684952614;-479.5863734554723;198.01800314757457;389.35088894108236;-808.6358217319464;908.794235888132;88.63679260418277;-285.3467246448113;-92.64966011056856;1239.5883487111687;1632.0110919068668;116.92940500595331;182.64245789330815;230.57644466993406;864.677412427582;-40.74944047841956;739.5935042954953;256.0391504727383;487.65643152924565;1250.5965489121122;294.298042056611;237.6670801374312;1018.1191467460392;-9999.0;269,9901168;633,3276446;695,8461065;942,1788978;595,8132592;-178,9948374;186,3296953;64,83434559;;11,40124271;29,56634369;1208,682281;965,5030083;466,6892957;150,1130652;;922,2240643;624,3333383;1540,601147;1750,871996;1173,080323;1216,844021;1718,25321;-954,0435327;283,2146156;565,5322604;28,94714992;603,7586229;777,338329;457,2999994;483,0090125;425,3149033;767,9442979;376,4797368;738,4877894;785,2567566;279,9559928;796,3384025;277,1127614;896,4761675;146,1878746;259,617643;474,0967089;410,0633191;563,0262294;152,8532379;645,6125677;422,5572455;947,1638144;558,01966
5;female;Red;phd;$40,001 - $50,000;good;Lux;Friendly work culture;Health;59 years and above;Novice;German;II;cash;Metal;Very Hot;C++;moscow;69.75994703017625;-141.77623366017582;128.8268915739036;104.9287046188092;-9999.0;-9999.0;872.6093602595557;-110.05131641682868;252.85654334059032;-9999.0;1387.675257526497;390.304126081618;-49.530854508104085;625.7915900289672;1866.1219621707057;619.7402032459856;-9999.0;832.4344831642663;448.41728125270333;225.7001237334838;-76.7032960289265;-154.5894533609744;497.25453201027165;781.003970182915;501.73427195415707;17,79127038;956,738885;815,3140013;-102,6497743;570,332816;-369,1959831;-189,7239342;31,2754957;260,7506377;20,48140334;325,6749537;528,8940815;;-847,4898652;102,1604288;245,1624208;333,0908253;287,1807692;-218,3757378;1780,767899;498,0757336;1143,103406;418,2553694;-406,560281;223,0203948;460,0808878;291,5979014;417,8236357;385,4933237;531,5119343;460,2134607;167,2208799;759,8614064;454,6224705;488,5560253;847,6837777;406,7167855;662,940349;694,3924767;440,3695273;136,2365151;355,5800301;337,7115665;674,296682;763,1566858;13,54210036;646,2016878;392,3425858;948,0739885;635,0705644
6;male; ;phd;Below $30,001;Neutral;lux;Professional growth opportunities;Health;21 to 35 years;Advanced;French;I;Cash;Plastic;Very Hot;c;Chelyabinsk;513.7214905371735;85.8365208374951;-579.6353333385716;195.0114479586698;676.6148109619186;-35.64513803174924;923.5679689547726;77.16291185057685;134.14785506090521;-1535.2714435271039;648.6762797219155;-508.7027642326333;497.76885271405854;643.428080709984;1070.7694125225116;658.7341521503262;954.2776815268127;806.5910876568464;239.2447635062241;102.18725032104612;-755.7356927729077;218.01182344565456;192.64804768542265;902.4782769117106;1260.6788491137777;176,4550728;616,9801944;714,8187349;738,0852555;43,34788288;332,2174988;222,2740143;174,3881735;-50,64992785;-8,156761721;-77,29924221;699,1485432;581,0670064;-10,95413075;21,77653778;108,2090787;590,7869356;;;240,8486902;865,1933068;997,7242892;;752,799008;229,0113162;713,0449229;523,0251712;634,9023498;441,7033334;547,1795654;652,8793655;89,33969936;757,2848545;284,2700844;503,2591228;760,8684714;260,0175461;541,5987159;-;895,0645158;145,799942;148,2812899;302,1989532;386,0884101;623,1945373;132,2155291;606,6917824;472,8179025;934,1612755;683,5617982
7;Male;black;phd;$30,001 - $40,000 ;-;Dove;recognition;Health;59 years and above;Advanced;German;II;Credit;Plastic;Hot;Python;St. Petersburg;266.50338798884604;-130.5600684242426;-681.6248518700581;150.61264076518611;-243.20715454056563;631.8944556610131;-9999.0;989.8759318607594;425.2097058334904;-48.348286353192805;321.2731558311002;-818.0846159517578;-277.5179954008125;375.38568894604987;567.4499484036082;843.4230341416142;1104.5524922787001;809.2573030043649;520.0652649350698;288.49013147035964;30.27675877115513;364.6373221403861;91.86221084832573;839.7437805620611;64.38652047373262;144,4139675;1016,371622;762,2160766;314,3457265;533,3501239;;-34,0778929;144,9912081;-181,0536532;-23,94096568;-215,6269098;988,9091989;68,62527165;303,3926957;113,7999896;;1300,713617;339,1373401;255,5598002;617,5053152;1141,910742;1111,08264;1183,657252;854,8639986;206,2947521;626,9942893;179,8548673;419,8966805;371,9256086;568,3987894;498,5959939;182,4780096;720,3138063;370,3043151;610,0233109;762,0388992;404,9378177;467,4634506;334,1527455;480,8124855;135,6878505;322,5096482; ;760,3480517;738,1764998;107,7832334;652,0410705;905,4586784;966,1035484;565,9651995
8;female;black;BSc;Below $30,001;Very poor;Dove;Professional growth opportunities;Study;Below 21 years;Advanced;German;II;Cash;Metal;Hot;Java;St. Petersburg;53.23358465646294;-23.905486527901285;1006.0562711093627;159.86678559248256;-1161.5065288624248;326.56495658849684;939.3579786296015;173.21196938080325;114.91883767031305;380.8853936531876;1286.580318409619;796.8629677978736;274.95934036265663;426.5205300620087;568.4192587650468;603.4197098416552;-491.240962476757;743.1217377253421;364.5749074673111;308.3623672753396;773.4221655901929;27.133339297700303;523.9458583355092;1034.9972438810687;686.4698340840127;62,8244752;;631,2441456;859,9412595;423,5134648;263,9671342;66,3264138;-192,9352738;214,3723714;-21,42154524;-143,6059973;;518,1598631;-179,8719056;127,9645529;258,7880631;598,4985719;321,6789928;-223,7403085;684,0581131;934,0600189;1305,966802;1830,531177;858,7092871;545,604665;61,79054523;559,8469404;518,3387381;607,8672981;514,2652855;708,5871248;296,8080772;708,7299623;376,1677242;445,3090372;715,9897811;284,6624502;534,9265523;;549,9329017;-;270,0334661;218,6004509;754,4890118; ;138,0933739;676,6053736;658,7916583;968,4923963;651,537197
9;;Black;High School;$40,001 - $50,000;Very poor;olay;peer motivation;Business;36 to 58 years;Advanced;German;II;Cash;Plastic;cold;C;Chelyabinsk;272.3605085420566;-74.74430683676577;3562.9477685650536;-9999.0;283.96986692295445;961.0081631258414;905.228979642862;-9999.0;22.9784624966357;514.52401927668;973.3414572419299;328.4610718611136;351.86776728699874;141.55557378793742;1978.9023145582523;920.9660893933197;976.3380876001947;688.9548304597951;251.70123333426346;236.23782799769253;3.5657377714993572;17.341733439755274;528.8369957065021;439.14778614910443;61.36389517070984;-10,88310177;1035,629373;750,5804634;848,3523782;585,9553128;;561,2659087;402,3496645;;-22,56464173;141,7191152;1064,313645;363,2012582;-2764,596621;;216,2039008;309,5166898;183,0727225;563,8289759;673,6005561;873,6532606;1019,534747;130,0246606;67,79408903;232,048912;606,0382418;678,98229; ;532,8407495;544,087238;701,8177909;248,1991855;717,3228235;440,7275634;475,2422789;787,4861887;264,5322919;739,8704367;673,789811;871,5331559;133,1055373;366,9880911;472,3133043; ;436,4367026;134,6336092; ;1146,780708;936,2426388;638,2186014
